,km_driven,selling_price,Age,Luxury_Segment,Fuel_Used_Gas,Fuel_Used_Petrol,Ownership_2nd Owner,Ownership_3rd Owner,Ownership_4th Owner,Transimission_Type_Manual
126,87555,492399,6,0,0,1,0,0,0,1
127,73060,447899,8,0,0,0,0,0,0,1
128,67786,437899,8,0,0,0,0,0,0,1
129,62859,651699,6,0,0,0,0,0,0,1
130,65552,660299,6,0,0,0,0,0,0,1
131,35941,663099,6,0,0,0,0,0,0,1
132,57235,651199,6,0,0,0,0,0,0,1
133,65905,643799,6,0,0,0,0,0,0,1
134,19063,642499,4,0,0,1,1,0,0,1
135,84028,626199,5,0,0,0,0,0,0,1
136,66181,624899,6,0,0,0,1,0,0,1
137,38144,692399,6,0,0,0,0,0,0,1
138,40129,922299,5,0,0,0,0,0,0,1
139,33726,1548199,2,1,0,1,1,0,0,0
140,30950,642399,6,0,0,0,1,0,0,1
141,62296,679699,5,0,0,0,0,0,0,1
142,63927,506599,6,0,0,0,0,0,0,1
143,67285,601199,6,0,0,0,0,0,0,1
144,137612,396099,8,0,0,0,1,0,0,1
145,90318,685599,6,0,0,0,0,0,0,1
146,67111,680299,5,0,0,0,1,0,0,1
147,81987,686299,5,0,0,0,0,0,0,1
148,66066,681599,5,0,0,0,0,0,0,1
149,17961,1596799,3,0,0,1,0,0,0,0
150,37831,856899,5,0,0,0,0,0,0,1
151,73241,326099,9,0,0,0,0,0,0,1
152,23319,641899,5,0,0,1,0,0,0,1
153,100433,1181199,9,1,0,0,0,0,0,1
154,76136,442699,9,0,0,0,0,0,0,1
155,75057,428699,9,0,0,0,0,0,0,1
156,26769,729799,6,0,0,0,0,0,0,1
157,57582,699699,6,0,0,0,0,0,0,1
158,37191,696099,6,0,0,0,0,0,0,1
159,27613,696999,6,0,0,0,0,0,0,1
160,31295,695199,6,0,0,0,0,0,0,1
161,42160,696999,6,0,0,0,0,0,0,1
162,44409,706099,6,0,0,0,0,0,0,1
163,55218,350399,5,0,0,1,1,0,0,1
164,93758,788399,8,0,0,0,0,0,0,1
165,44837,473399,8,0,0,0,0,0,0,1
166,75620,1226199,9,1,0,0,0,0,0,0
167,42616,898599,5,0,0,0,0,0,0,1
168,81167,424699,9,0,0,0,1,0,0,1
169,52410,615699,4,0,0,0,0,1,0,1
170,55327,738799,5,0,0,0,0,0,0,1
171,59082,731799,5,0,0,0,0,0,0,1
172,43454,693899,5,0,0,0,0,0,0,1
173,76165,521399,7,0,0,0,1,0,0,1
174,82799,763799,5,0,0,0,0,0,0,1
175,22037,757399,5,0,0,0,0,0,0,1
176,67923,486499,11,0,0,1,0,0,0,1
177,48513,503599,8,0,0,0,0,0,0,1
178,76733,564599,7,0,0,0,0,0,0,1
179,141436,465099,7,0,0,0,0,1,0,1
180,60651,435199,9,0,0,0,0,0,0,1
181,16529,693999,6,0,0,1,0,0,0,1
182,28444,726399,5,0,0,0,1,0,0,1
183,65694,845299,4,0,0,0,0,0,0,1
184,73718,553999,5,0,0,0,0,0,0,1
185,90345,680599,4,0,0,0,0,0,0,1
186,31379,580999,6,0,0,0,0,0,0,1
187,26236,778999,5,0,0,1,0,0,0,1
188,36544,818499,5,0,0,1,0,1,0,0
189,84262,947799,8,0,0,0,0,0,0,1
190,23859,693299,4,0,0,1,0,0,0,1
191,122636,498999,7,0,0,0,0,0,0,1
192,75539,538499,5,0,0,0,1,0,0,1
193,47495,351999,6,0,0,1,1,0,0,1
194,16228,713999,6,0,0,1,0,0,0,1
195,95490,475099,8,0,0,0,1,0,0,1
196,46437,1897599,5,1,0,1,0,0,0,0
197,70240,480499,7,0,0,0,0,0,0,1
198,53334,1245499,9,1,0,0,0,0,0,0
