Sl_No,Transmission_Type,Ownership,Fuel_Used,km_driven,Ex_Showroom_Price,On_road_Price,selling_price,Place_of_Origin,Complete_Info,Age,MRP
2256,""" Manual""",""" 1st Owner""", Petrol,66617,NULL,617000.0,358099, Kolkata, 2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,8,617000.0
2257,""" Manual""",""" 1st Owner""", Petrol,14101,500000.0,NULL,448399, Kolkata, 2018 Hyundai NEW SANTRO SPORTZ 1.1 Manual,4,600000.0
2258,""" Manual""",""" 1st Owner""", Petrol,60905,899000.0,NULL,440499, Kolkata, 2014 Honda City S MT PETROL Manual,8,1078800.0
2259,""" Manual""",""" 1st Owner""", Petrol,61045,NULL,619000.0,556899, Kolkata, 2019 Maruti Swift VXI Manual,3,619000.0
2260,""" Manual""",""" 1st Owner""", Petrol,79338,NULL,619000.0,537899, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
2261,""" Manual""",""" 1st Owner""", Petrol,51160,856000.0,NULL,474999, Kolkata, 2013 Ford Ecosport 1.5 TITANIUM TI VCT Manual,9,1027200.0
2262,""" Manual""",""" 1st Owner""", Petrol,25032,NULL,564000.0,418099, Kolkata, 2017 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,5,564000.0
2263,""" Manual""",""" 1st Owner""", Petrol,10930,673000.0,NULL,573099, Kolkata, 2018 Hyundai Xcent SX 1.2 Manual,4,807600.0
2264,""" Manual""",""" 1st Owner""", Petrol,64056,NULL,565000.0,364399, Kolkata, 2013 Maruti Swift Dzire VXI 1.2 BS IV Manual,9,565000.0
2265,""" Manual""",""" 1st Owner""", Petrol,3057,NULL,681000.0,634299, Kolkata, 2019 Maruti Baleno DELTA 1.2 K12 Manual,3,681000.0
2266,""" Manual""",""" 1st Owner""", Petrol,67355,699000.0,NULL,469399, Kolkata, 2015 Hyundai Elite i20 ASTA 1.2 Manual,7,838800.0
2267,""" Manual""",""" 1st Owner""", Diesel,17649,NULL,681000.0,609599, Kolkata, 2018 Maruti Baleno DELTA DDIS 190 Manual,4,681000.0
2268,""" Manual""",""" 1st Owner""", Petrol,12382,NULL,650000.0,514299, Kolkata, 2019 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,3,650000.0
2269,""" Manual""",""" 1st Owner""", Petrol,74531,NULL,619000.0,537899, Kolkata, 2018 Maruti Swift VXI Manual,4,619000.0
2270,""" Manual""",""" 1st Owner""", Petrol,24631,NULL,396000.0,227999, Kolkata, 2014 Maruti Alto 800 LXI Manual,8,396000.0
2271,""" Manual""",""" 1st Owner""", Petrol,6831,NULL,982000.0,794499, Kolkata, 2020 Ford Ecosport 1.5 TREND TI VCT Manual,2,982000.0
2272,""" Manual""",""" 1st Owner""", Petrol,106265,699000.0,NULL,452899, Kolkata, 2015 Hyundai Elite i20 ASTA 1.2 Manual,7,838800.0
2273,""" Manual""",""" 1st Owner""", Petrol,34276,856000.0,NULL,530499, Kolkata, 2015 Ford Ecosport 1.5 TITANIUM TI VCT Manual,7,1027200.0
2274,""" Manual""",""" 1st Owner""", Petrol,4259,NULL,350000.0,366499, Kolkata, 2020 Maruti Alto LXI Manual,2,350000.0
2275,""" Manual""",""" 1st Owner""", Petrol,43769,NULL,394000.0,307099, Kolkata, 2018 Maruti Alto K10 VXI Manual,4,394000.0
2276,""" Manual""",""" 1st Owner""", Diesel,95285,NULL,966000.0,649299, Kolkata, 2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6,966000.0
2277,""" Manual""",""" 1st Owner""", Petrol,2034,NULL,698000.0,732499, Kolkata, 2020 Maruti Baleno ZETA 1.2 K12 Manual,2,698000.0
2278,""" Manual""",""" 1st Owner""", Petrol,68126,NULL,680000.0,413599, Kolkata, 2014 Hyundai Grand i10 ASTA 1.2 (O) VTVT Manual,8,680000.0
2279,""" Manual""",""" 1st Owner""", Petrol,43927,NULL,681000.0,515399, Kolkata, 2018 Maruti Baleno DELTA 1.2 K12 Manual,4,681000.0
2280,""" Manual""",""" 1st Owner""", Petrol,21546,NULL,706000.0,513799, Kolkata, 2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,3,706000.0
2281,""" Manual""",""" 1st Owner""", Petrol,27385,NULL,437000.0,388599, Kolkata, 2017 Maruti Wagon R 1.0 VXI Manual,5,437000.0
2282,""" Manual""",""" 1st Owner""", Diesel,59277,799000.0,799000.0,466399, Kolkata, 2014 Ford Ecosport 1.5TITANIUM TDCI Manual,8,799000.0
2283,""" Manual""",""" 1st Owner""", Diesel,47321,1072000.0,NULL,523399, Kolkata, 2015 Hyundai Verna FLUIDIC 1.6 SX CRDI Manual,7,1286400.0
2284,""" Manual""",""" 1st Owner""", Diesel,71369,NULL,794000.0,757999, Kolkata, 2018 Maruti Vitara Brezza VDI OPT Manual,4,794000.0
2285,""" Manual""",""" 1st Owner""", Diesel,135599,NULL,860000.0,429999, Kolkata, 2014 Maruti Ciaz VDI PLUS Manual,8,860000.0
2286,""" Manual""",""" 1st Owner""", Petrol,36130,578000.0,NULL,376999, Kolkata, 2014 Hyundai Xcent S 1.2 OPT Manual,8,693600.0
2287,""" Manual""",""" 1st Owner""", Petrol,37942,NULL,892000.0,657599, Kolkata, 2018 Maruti Ciaz ZETA 1.4 VVT Manual,4,892000.0
2288,""" Manual""",""" 1st Owner""", Diesel,70684,789000.0,NULL,355999, Kolkata, 2014 Honda Amaze 1.5 VXMT I DTEC Manual,8,946800.0
2289,""" Automatic""",""" 1st Owner""", Petrol,17648,NULL,707000.0,608399, Kolkata, 2018 Maruti Dzire VXI AMT Automatic,4,707000.0
2290,""" Manual""",""" 1st Owner""", Petrol,73111,553000.0,NULL,359099, Kolkata, 2014 Hyundai Xcent S 1.2 Manual,8,663600.0
2291,""" Automatic""",""" 1st Owner""", Petrol,11526,NULL,707000.0,616399, Kolkata, 2019 Maruti Dzire VXI AMT Automatic,3,707000.0
2292,""" Manual""",""" 1st Owner""", Petrol,27019,NULL,681000.0,534299, Kolkata, 2018 Maruti Baleno DELTA 1.2 K12 Manual,4,681000.0
2293,""" Manual""",""" 1st Owner""", Petrol,30033,NULL,394000.0,386999, Kolkata, 2018 Maruti Alto K10 VXI Manual,4,394000.0
2294,""" Manual""",""" 1st Owner""", Petrol,43586,NULL,1040000.0,695799, Kolkata, 2018 Honda WR-V 1.2 i-VTEC VX MT Manual,4,1040000.0
2295,""" Manual""",""" 1st Owner""", Petrol,24648,NULL,437000.0,360799, Kolkata, 2015 Maruti Wagon R 1.0 VXI Manual,7,437000.0
2296,""" Manual""",""" 1st Owner""", Petrol,55766,NULL,836937.0,663399, Kolkata, 2018 Maruti Dzire ZXI Plus Manual,4,836937.0
2297,""" Manual""",""" 1st Owner""", Petrol,35771,NULL,437000.0,391099, Kolkata, 2017 Maruti Wagon R 1.0 VXI Manual,5,437000.0
2298,""" Manual""",""" 1st Owner""", Petrol,62791,NULL,681000.0,465299, Kolkata, 2015 Maruti Baleno DELTA 1.2 K12 Manual,7,681000.0
