Sl_No,Transmission_Type,Ownership,Fuel_Used,km_driven,Ex_Showroom_Price,On_road_Price,selling_price,Place_of_Origin,Complete_Info,Age,MRP
1207,""" Manual""",""" 1st Owner""", Petrol,41523,628000.0,NULL,650499, Chennai, 2019 Hyundai Elite i20 1.2 MAGNA PLUS VTVT Manual,3,753600.0
1208,""" Manual""",""" 1st Owner""", Petrol,39984,385000.0,NULL,317599, Chennai, 2016 Hyundai Eon ERA PLUS Manual,6,462000.0
1209,""" Automatic""",""" 1st Owner""", Petrol,9926,547000.0,NULL,570799, Chennai, 2018 Hyundai NEW SANTRO 1.1 SPORTS AMT Automatic,4,656400.0
1210,""" Manual""",""" 1st Owner""", Petrol,27458,411000.0,NULL,357899, Chennai, 2016 Hyundai Eon MAGNA PLUS OPTIONAL Manual,6,493200.0
1211,""" Manual""",""" 1st Owner""", Diesel,90866,560000.0,NULL,551999, Chennai, 2014 Hyundai Elite i20 ASTA 1.4 CRDI Manual,8,672000.0
1212,""" Manual""",""" 1st Owner""", Petrol,22511,NULL,1071000.0,830399, Chennai, 2018 Ford Ecosport 1.5 TITANIUM TI VCT Manual,4,1071000.0
1213,""" Automatic""",""" 1st Owner""", Petrol,14765,565000.0,NULL,584999, Chennai, 2019 Hyundai NEW SANTRO 1.1 SPORTS AMT Automatic,3,678000.0
1214,""" Manual""",""" 1st Owner""", Petrol,35163,385000.0,NULL,365999, Chennai, 2018 Hyundai Eon ERA PLUS Manual,4,462000.0
1215,""" Manual""",""" 1st Owner""", Diesel,21076,NULL,1749000.0,1165199, Chennai, 2018 Mahindra MARAZZO M8 7 STR Manual,4,1749000.0
1216,""" Manual""",""" 1st Owner""", Petrol,42236,385000.0,NULL,316399, Chennai, 2016 Hyundai Eon ERA PLUS Manual,6,462000.0
1217,""" Manual""",""" 1st Owner""", Petrol,17350,NULL,582000.0,575099, Chennai, 2019 Maruti IGNIS DELTA 1.2 K12 Manual,3,582000.0
1218,""" Manual""",""" 1st Owner""", Petrol,40304,504000.0,NULL,424599, Chennai, 2015 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,7,604800.0
1219,""" Manual""",""" 1st Owner""", Petrol,60370,NULL,755000.0,604099, Chennai, 2017 Maruti Baleno ZETA 1.2 K12 Manual,5,755000.0
1220,""" Manual""",""" 1st Owner""", Petrol,30139,NULL,394000.0,302299, Chennai, 2015 Maruti Alto K10 VXI Manual,7,394000.0
1221,""" Manual""",""" 1st Owner""", Petrol,55196,NULL,681000.0,643899, Chennai, 2019 Maruti Baleno DELTA 1.2 K12 Manual,3,681000.0
1222,""" Manual""",""" 1st Owner""", Petrol,13644,NULL,755000.0,648799, Chennai, 2017 Maruti Baleno ZETA 1.2 K12 Manual,5,755000.0
1223,""" Automatic""",""" 1st Owner""", Petrol,24403,NULL,812000.0,605099, Chennai, 2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT Automatic,5,812000.0
1224,""" Manual""",""" 1st Owner""", Petrol,75640,1151000.0,NULL,841499, Chennai, 2017 Hyundai Creta 1.6 SX PLUS PETROL Manual,5,1381200.0
1225,""" Manual""",""" 1st Owner""", Petrol,72327,679000.0,NULL,593499, Chennai, 2017 Honda Jazz 1.2 SV MT Manual,5,814800.0
1226,""" Manual""",""" 1st Owner""", Diesel,70577,656000.0,NULL,464199, Chennai, 2015 Hyundai Xcent S 1.1 CRDI Manual,7,787200.0
1227,""" Manual""",""" 1st Owner""", Diesel,61172,NULL,888000.0,850499, Chennai, 2018 Maruti Vitara Brezza ZDI Manual,4,888000.0
1228,""" Manual""",""" 1st Owner""", Petrol,39961,689000.0,NULL,488499, Chennai, 2015 Hyundai Grand i10 ASTA 1.2 VTVT Manual,7,826800.0
1229,""" Manual""",""" 1st Owner""", Petrol,20048,NULL,311000.0,324599, Chennai, 2018 Maruti Alto 800 LXI Manual,4,311000.0
1230,""" Manual""",""" 1st Owner""", Petrol,31624,402000.0,NULL,352799, Chennai, 2016 Hyundai Eon MAGNA PLUS Manual,6,482400.0
1231,""" Manual""",""" 1st Owner""", Petrol,69381,371000.0,NULL,310099, Chennai, 2017 Hyundai Eon ERA PLUS Manual,5,445200.0
1232,""" Manual""",""" 1st Owner""", Petrol,7734,NULL,393000.0,490799, Chennai, 2020 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,2,393000.0
1233,""" Manual""",""" 1st Owner""", Petrol,23246,NULL,393000.0,414299, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1234,""" Manual""",""" 1st Owner""", Petrol,84541,596000.0,NULL,477699, Chennai, 2014 Hyundai Elite i20 MAGNA 1.2 Manual,8,715200.0
1235,""" Manual""",""" 1st Owner""", Petrol,7135,NULL,393000.0,453199, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1236,""" Manual""",""" 1st Owner""", Petrol,46572,NULL,396000.0,229599, Chennai, 2013 Maruti Alto 800 LXI Manual,9,396000.0
1237,""" Manual""",""" 1st Owner""", Petrol,12080,385000.0,NULL,367499, Chennai, 2018 Hyundai Eon ERA PLUS Manual,4,462000.0
1238,""" Manual""",""" 1st Owner""", Petrol,22539,357000.0,NULL,313899, Chennai, 2017 Hyundai Eon D LITE PLUS Manual,5,428400.0
1239,""" Manual""",""" 1st Owner""", Petrol,20582,NULL,612000.0,511799, Chennai, 2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6,612000.0
1240,""" Manual""",""" 1st Owner""", Petrol,17855,NULL,307000.0,308799, Chennai, 2016 Maruti Alto 800 LXI Manual,6,307000.0
1241,""" Manual""",""" 1st Owner""", Petrol,17442,NULL,437000.0,455699, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1242,""" Manual""",""" 1st Owner""", Petrol,6122,NULL,994000.0,944699, Chennai, 2021 Hyundai VENUE S Plus MT 1.2 Kappa Manual,1,994000.0
1243,""" Manual""",""" 1st Owner""", Petrol,32805,NULL,612000.0,498799, Chennai, 2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6,612000.0
1244,""" Manual""",""" 1st Owner""", Diesel,54549,NULL,966000.0,848099, Chennai, 2017 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,5,966000.0
1245,""" Automatic""",""" 1st Owner""", Petrol,14894,NULL,439000.0,439000, Chennai, 2016 Maruti Alto K10 VXI AMT Automatic,6,439000.0
1246,""" Manual""",""" 1st Owner""", Petrol,51886,NULL,394000.0,295099, Chennai, 2015 Maruti Alto K10 VXI Manual,7,394000.0
1247,""" Manual""",""" 1st Owner""", Petrol,14541,NULL,599000.0,614999, Chennai, 2017 Maruti Dzire VXI Manual,5,599000.0
1248,""" Manual""",""" 1st Owner""", Petrol,48553,NULL,499000.0,562199, Chennai, 2018 Maruti Swift LXI Manual,4,499000.0
1249,""" Manual""",""" 1st Owner""", Diesel,45003,NULL,888000.0,818099, Chennai, 2018 Maruti Vitara Brezza ZDI Manual,4,888000.0
1250,""" Manual""",""" 1st Owner""", Petrol,59949,NULL,605000.0,562399, Chennai, 2017 Maruti Swift VXI Manual,5,605000.0
1251,""" Manual""",""" 1st Owner""", Petrol,63684,781000.0,NULL,638699, Chennai, 2016 Hyundai Elite i20 ASTA 1.2 (O) Manual,6,937200.0
1252,""" Manual""",""" 1st Owner""", Petrol,13138,NULL,437000.0,464999, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1253,""" Manual""",""" 1st Owner""", Petrol,43474,731000.0,NULL,606299, Chennai, 2017 Honda Jazz 1.2 V MT Manual,5,877200.0
1254,""" Manual""",""" 1st Owner""", Diesel,76944,NULL,983000.0,910599, Chennai, 2018 Maruti Vitara Brezza ZDI PLUS Manual,4,983000.0
1255,""" Manual""",""" 1st Owner""", Petrol,58146,NULL,394000.0,308999, Chennai, 2015 Maruti Alto K10 LXI Manual,7,394000.0
1256,""" Manual""",""" 1st Owner""", Petrol,53536,NULL,936000.0,677799, Chennai, 2017 Maruti Ciaz ALPHA 1.4 VVT Manual,5,936000.0
1257,""" Manual""",""" 1st Owner""", Petrol,30221,NULL,681000.0,617399, Chennai, 2018 Maruti Baleno DELTA 1.2 K12 Manual,4,681000.0
1258,""" Manual""",""" 1st Owner""", Petrol,34411,NULL,365000.0,401799, Chennai, 2018 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,4,365000.0
1259,""" Manual""",""" 1st Owner""", Petrol,15288,NULL,437000.0,499499, Chennai, 2017 Maruti Wagon R 1.0 VXI Manual,5,437000.0
1260,""" Manual""",""" 1st Owner""", Petrol,45416,385000.0,NULL,310999, Chennai, 2016 Hyundai Eon ERA PLUS Manual,6,462000.0
1261,""" Manual""",""" 1st Owner""", Petrol,26707,NULL,680000.0,526199, Chennai, 2016 Hyundai Grand i10 ASTA 1.2 (O) VTVT Manual,6,680000.0
1262,""" Manual""",""" 1st Owner""", Petrol,18899,NULL,393000.0,441399, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1263,""" Manual""",""" 1st Owner""", Petrol,5141,NULL,530000.0,495799, Chennai, 2021 Maruti S PRESSO VXI PLUS Manual,1,530000.0
1264,""" Manual""",""" 1st Owner""", Petrol,43472,440000.0,NULL,323999, Chennai, 2015 Hyundai Eon SPORTZ Manual,7,528000.0
1265,""" Manual""",""" 1st Owner""", Petrol,83440,NULL,612000.0,444299, Chennai, 2016 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,6,612000.0
1266,""" Automatic""",""" 1st Owner""", Petrol,18890,NULL,514000.0,428799, Chennai, 2016 Maruti Wagon R 1.0 VXI AMT Automatic,6,514000.0
1267,""" Automatic""",""" 1st Owner""", Diesel,93752,NULL,700000.0,628399, Chennai, 2017 Maruti Dzire VDI AMT Automatic,5,700000.0
1268,""" Manual""",""" 1st Owner""", Petrol,81508,1037000.0,NULL,758399, Chennai, 2017 Honda City V MT PETROL Manual,5,1244400.0
1269,""" Manual""",""" 1st Owner""", Petrol,35436,NULL,612000.0,519499, Chennai, 2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6,612000.0
1270,""" Manual""",""" 1st Owner""", Petrol,24362,NULL,355000.0,402599, Chennai, 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,5,355000.0
1271,""" Manual""",""" 1st Owner""", Petrol,69157,679000.0,NULL,535099, Chennai, 2014 Hyundai Elite i20 ASTA 1.2 Manual,8,814800.0
1272,""" Manual""",""" 1st Owner""", Petrol,16717,NULL,326000.0,370099, Chennai, 2018 Maruti Alto 800 VXI Manual,4,326000.0
1273,""" Manual""",""" 1st Owner""", Petrol,22208,NULL,612000.0,562399, Chennai, 2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,5,612000.0
1274,""" Manual""",""" 1st Owner""", Petrol,68061,NULL,307000.0,296899, Chennai, 2017 Maruti Alto 800 LXI Manual,5,307000.0
1275,""" Manual""",""" 1st Owner""", Petrol,31953,NULL,1071000.0,784899, Chennai, 2019 Ford Ecosport 1.5 TITANIUM TI VCT Manual,3,1071000.0
1276,""" Manual""",""" 1st Owner""", Petrol,22036,NULL,437000.0,464399, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1277,""" Manual""",""" 1st Owner""", Petrol,49956,783000.0,NULL,666699, Chennai, 2017 Hyundai Elite i20 ASTA 1.2 (O) Manual,5,939600.0
1278,""" Manual""",""" 1st Owner""", Petrol,19686,NULL,681000.0,637799, Chennai, 2018 Maruti Baleno DELTA 1.2 K12 Manual,4,681000.0
1279,""" Automatic""",""" 1st Owner""", Petrol,33350,NULL,439000.0,439000, Chennai, 2016 Maruti Alto K10 VXI AMT Automatic,6,439000.0
1280,""" Automatic""",""" 1st Owner""", Petrol,49027,NULL,812000.0,600499, Chennai, 2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT Automatic,5,812000.0
1281,""" Manual""",""" 1st Owner""", Petrol,30148,NULL,437000.0,455799, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1282,""" Manual""",""" 1st Owner""", Petrol,27336,NULL,355000.0,424099, Chennai, 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,5,355000.0
1283,""" Manual""",""" 1st Owner""", Petrol,81031,689000.0,NULL,455999, Chennai, 2015 Hyundai Grand i10 ASTA 1.2 VTVT Manual,7,826800.0
1284,""" Manual""",""" 1st Owner""", Petrol,48859,NULL,394000.0,311499, Chennai, 2015 Maruti Alto K10 VXI Manual,7,394000.0
1285,""" Manual""",""" 1st Owner""", Petrol,46862,NULL,437000.0,439399, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1286,""" Manual""",""" 1st Owner""", Petrol,85957,693000.0,NULL,555399, Chennai, 2015 Ford Ecosport 1.5AMBIENTE TI VCT Manual,7,831600.0
1287,""" Manual""",""" 1st Owner""", Petrol,63743,NULL,437000.0,458699, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1288,""" Automatic""",""" 1st Owner""", Petrol,154229,NULL,1106000.0,572699, Chennai, 2016 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,6,1106000.0
1289,""" Manual""",""" 1st Owner""", Petrol,27952,NULL,307000.0,308799, Chennai, 2016 Maruti Alto 800 LXI Manual,6,307000.0
1290,""" Manual""",""" 1st Owner""", Petrol,29145,NULL,393000.0,449099, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1291,""" Automatic""",""" 1st Owner""", Petrol,45328,565000.0,NULL,544699, Chennai, 2019 Hyundai NEW SANTRO 1.1 SPORTS AMT Automatic,3,678000.0
1292,""" Manual""",""" 1st Owner""", Petrol,20529,NULL,681000.0,698399, Chennai, 2019 Maruti Baleno DELTA 1.2 K12 Manual,3,681000.0
1293,""" Manual""",""" 1st Owner""", Petrol,48953,NULL,356000.0,372599, Chennai, 2013 Maruti Wagon R 1.0 VXI Manual,9,356000.0
1294,""" Manual""",""" 1st Owner""", Petrol,15674,NULL,393000.0,450899, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1295,""" Manual""",""" 1st Owner""", Petrol,53083,NULL,1082000.0,1093299, Chennai, 2019 Maruti XL6 ALPHA SHVS  MT Manual,3,1082000.0
1296,""" Manual""",""" 1st Owner""", Petrol,60523,NULL,612000.0,493399, Chennai, 2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6,612000.0
1297,""" Automatic""",""" 1st Owner""", Petrol,39704,565000.0,NULL,573799, Chennai, 2019 Hyundai NEW SANTRO 1.1 SPORTS AMT Automatic,3,678000.0
1298,""" Manual""",""" 1st Owner""", Petrol,15610,NULL,393000.0,427999, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1299,""" Manual""",""" 1st Owner""", Petrol,24039,371000.0,NULL,347899, Chennai, 2017 Hyundai Eon ERA PLUS Manual,5,445200.0
1300,""" Manual""",""" 1st Owner""", Petrol,117893,620000.0,NULL,534799, Chennai, 2016 Hyundai Elite i20 MAGNA 1.2 Manual,6,744000.0
1301,""" Manual""",""" 1st Owner""", Petrol,64507,NULL,437000.0,439199, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1302,""" Manual""",""" 1st Owner""", Petrol,54613,371000.0,NULL,349799, Chennai, 2017 Hyundai Eon ERA PLUS Manual,5,445200.0
1303,""" Manual""",""" 1st Owner""", Petrol,28636,NULL,706000.0,590799, Chennai, 2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,4,706000.0
1304,""" Automatic""",""" 1st Owner""", Petrol,33604,NULL,740000.0,572599, Chennai, 2018 Hyundai Grand i10 Magna 1.2 AT  VTVT Automatic,4,740000.0
1305,""" Manual""",""" 1st Owner""", Petrol,54684,NULL,385000.0,364099, Chennai, 2014 Maruti Wagon R 1.0 VXI Manual,8,385000.0
1306,""" Automatic""",""" 1st Owner""", Petrol,13055,NULL,482000.0,522199, Chennai, 2020 Maruti S PRESSO VXI PLUS AGS Automatic,2,482000.0
1307,""" Manual""",""" 1st Owner""", Petrol,60516,385000.0,NULL,355699, Chennai, 2018 Hyundai Eon ERA PLUS Manual,4,462000.0
1308,""" Automatic""",""" 1st Owner""", Petrol,40948,NULL,439000.0,439000, Chennai, 2016 Maruti Alto K10 VXI AMT Automatic,6,439000.0
1309,""" Manual""",""" 1st Owner""", Petrol,18237,NULL,582000.0,548699, Chennai, 2018 Maruti IGNIS DELTA 1.2 K12 Manual,4,582000.0
1310,""" Manual""",""" 1st Owner""", Petrol,12561,NULL,582000.0,548699, Chennai, 2018 Maruti IGNIS DELTA 1.2 K12 Manual,4,582000.0
1311,""" Manual""",""" 1st Owner""", Petrol,49494,NULL,437000.0,415299, Chennai, 2016 Maruti Wagon R 1.0 VXI OPT Manual,6,437000.0
1312,""" Manual""",""" 1st Owner""", Petrol,33655,NULL,393000.0,493899, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1313,""" Manual""",""" 1st Owner""", Petrol,42959,NULL,437000.0,438299, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1314,""" Automatic""",""" 1st Owner""", Petrol,16047,NULL,514000.0,409899, Chennai, 2017 Maruti Wagon R 1.0 VXI AMT Automatic,5,514000.0
1315,""" Manual""",""" 1st Owner""", Petrol,21285,NULL,681000.0,621799, Chennai, 2017 Maruti Baleno DELTA 1.2 K12 Manual,5,681000.0
1316,""" Automatic""",""" 1st Owner""", Petrol,77873,1120000.0,NULL,874399, Chennai, 2019 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT Automatic,3,1344000.0
1317,""" Manual""",""" 1st Owner""", Petrol,69645,NULL,680000.0,523999, Chennai, 2016 Hyundai Grand i10 ASTA 1.2 VTVT Manual,6,680000.0
1318,""" Manual""",""" 1st Owner""", Petrol,56248,NULL,612000.0,498199, Chennai, 2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6,612000.0
1319,""" Manual""",""" 1st Owner""", Petrol,60307,NULL,394000.0,309799, Chennai, 2015 Maruti Alto K10 VXI Manual,7,394000.0
1320,""" Manual""",""" 1st Owner""", Petrol,79648,NULL,437000.0,403599, Chennai, 2016 Maruti Wagon R 1.0 VXI Manual,6,437000.0
1321,""" Manual""",""" 1st Owner""", Petrol,36506,NULL,680000.0,561799, Chennai, 2017 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,5,680000.0
1322,""" Manual""",""" 1st Owner""", Petrol,66417,NULL,437000.0,399599, Chennai, 2015 Maruti Wagon R 1.0 VXI Manual,7,437000.0
1323,""" Manual""",""" 1st Owner""", Petrol,54644,NULL,437000.0,398899, Chennai, 2015 Maruti Wagon R 1.0 VXI Manual,7,437000.0
1324,""" Manual""",""" 1st Owner""", Petrol,17682,NULL,365000.0,433399, Chennai, 2018 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,4,365000.0
1325,""" Manual""",""" 1st Owner""", Petrol,90204,548000.0,NULL,413499, Chennai, 2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,7,657600.0
1326,""" Manual""",""" 1st Owner""", Petrol,84992,NULL,356000.0,339399, Chennai, 2013 Maruti Wagon R 1.0 VXI Manual,9,356000.0
1327,""" Automatic""",""" 1st Owner""", Petrol,96040,NULL,762000.0,509699, Chennai, 2016 Hyundai Grand i10 1.2 ASTA (O) AT Automatic,6,762000.0
1328,""" Manual""",""" 1st Owner""", Petrol,59844,NULL,564000.0,468099, Chennai, 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5,564000.0
1329,""" Automatic""",""" 1st Owner""", Petrol,50256,609000.0,NULL,518499, Chennai, 2015 Hyundai Grand i10 ASTA 1.2 AT VTVT Automatic,7,730800.0
1330,""" Manual""",""" 1st Owner""", Petrol,12580,NULL,393000.0,443499, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1331,""" Manual""",""" 1st Owner""", Petrol,16691,NULL,437000.0,486199, Chennai, 2018 Maruti Wagon R 1.0 VXI Manual,4,437000.0
1332,""" Manual""",""" 1st Owner""", Petrol,13363,NULL,437000.0,475099, Chennai, 2017 Maruti Wagon R 1.0 VXI Manual,5,437000.0
1333,""" Automatic""",""" 1st Owner""", Petrol,25243,NULL,533000.0,494199, Chennai, 2017 Maruti Wagon R 1.0 VXI OPT AMT Automatic,5,533000.0
1334,""" Manual""",""" 1st Owner""", Petrol,42215,371000.0,NULL,338899, Chennai, 2017 Hyundai Eon ERA PLUS Manual,5,445200.0
1335,""" Manual""",""" 1st Owner""", Petrol,43071,371000.0,NULL,349799, Chennai, 2017 Hyundai Eon ERA PLUS Manual,5,445200.0
1336,""" Manual""",""" 1st Owner""", Petrol,26079,NULL,355000.0,406199, Chennai, 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,5,355000.0
1337,""" Manual""",""" 1st Owner""", Petrol,32997,NULL,612000.0,538299, Chennai, 2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,5,612000.0
1338,""" Manual""",""" 1st Owner""", Petrol,34824,NULL,681000.0,608599, Chennai, 2017 Maruti Baleno DELTA 1.2 K12 Manual,5,681000.0
1339,""" Manual""",""" 1st Owner""", Petrol,70238,NULL,385000.0,391399, Chennai, 2014 Maruti Wagon R 1.0 VXI Manual,8,385000.0
1340,""" Manual""",""" 1st Owner""", Petrol,76732,NULL,437000.0,359699, Chennai, 2015 Maruti Wagon R 1.0 VXI Manual,7,437000.0
1341,""" Manual""",""" 1st Owner""", Petrol,42461,NULL,612000.0,506999, Chennai, 2017 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,5,612000.0
1342,""" Automatic""",""" 1st Owner""", Petrol,20642,NULL,533000.0,494199, Chennai, 2017 Maruti Wagon R 1.0 VXI OPT AMT Automatic,5,533000.0
1343,""" Manual""",""" 1st Owner""", Petrol,96751,NULL,564000.0,481499, Chennai, 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5,564000.0
1344,""" Manual""",""" 1st Owner""", Petrol,24965,NULL,681000.0,701399, Chennai, 2019 Maruti Baleno DELTA 1.2 K12 Manual,3,681000.0
1345,""" Manual""",""" 1st Owner""", Petrol,44240,NULL,612000.0,503299, Chennai, 2017 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,5,612000.0
1346,""" Manual""",""" 1st Owner""", Petrol,7493,NULL,393000.0,493899, Chennai, 2019 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,3,393000.0
1347,""" Manual""",""" 1st Owner""", Petrol,81935,NULL,485000.0,449599, Chennai, 2017 Maruti Wagon R 1.0 VXI OPT Manual,5,485000.0
1348,""" Manual""",""" 1st Owner""", Petrol,72963,NULL,437000.0,448099, Chennai, 2017 Maruti Wagon R 1.0 VXI Manual,5,437000.0
1349,""" Manual""",""" 1st Owner""", Petrol,75118,NULL,908000.0,630099, Chennai, 2016 Hyundai i20 Active 1.2 SX Manual,6,908000.0
1350,""" Manual""",""" 1st Owner""", Petrol,71126,NULL,394000.0,349199, Chennai, 2017 Maruti Alto K10 VXI Manual,5,394000.0
1351,""" Manual""",""" 1st Owner""", Petrol,54825,NULL,853000.0,531699, Chennai, 2018 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,4,853000.0
1352,""" Automatic""",""" 1st Owner""", Petrol,35640,547000.0,NULL,559299, Chennai, 2018 Hyundai NEW SANTRO 1.1 SPORTS AMT Automatic,4,656400.0
1353,""" Manual""",""" 1st Owner""", Petrol,17927,NULL,394000.0,351499, Chennai, 2017 Maruti Alto K10 VXI Manual,5,394000.0
1354,""" Automatic""",""" 1st Owner""", Petrol,47412,NULL,812000.0,585099, Chennai, 2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT Automatic,5,812000.0
1355,""" Manual""",""" 1st Owner""", Petrol,51708,NULL,812000.0,517099, Chennai, 2017 Hyundai Grand i10 Sportz(O) 1.2 MT Manual,5,812000.0
1356,""" Manual""",""" 1st Owner""", Petrol,42356,NULL,485000.0,422699, Chennai, 2017 Maruti Wagon R 1.0 VXI OPT Manual,5,485000.0
1357,""" Manual""",""" 1st Owner""", Petrol,44946,NULL,830000.0,685399, Chennai, 2017 Maruti Baleno ALPHA 1.2 K12 Manual,5,830000.0
1358,""" Manual""",""" 1st Owner""", Petrol,42116,NULL,681000.0,700099, Chennai, 2019 Maruti Baleno DELTA 1.2 K12 Manual,3,681000.0
1359,""" Manual""",""" 1st Owner""", Petrol,21087,NULL,365000.0,412299, Chennai, 2018 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,4,365000.0
1360,""" Manual""",""" 1st Owner""", Petrol,11243,NULL,485000.0,503599, Chennai, 2017 Maruti Wagon R 1.0 VXI OPT Manual,5,485000.0
1361,""" Manual""",""" 1st Owner""", Petrol,73880,NULL,466000.0,434299, Chennai, 2017 Maruti Wagon R 1.0 VXI PLUS Manual,5,466000.0
1362,""" Manual""",""" 1st Owner""", Petrol,49848,NULL,706000.0,583499, Chennai, 2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,4,706000.0
1363,""" Automatic""",""" 1st Owner""", Petrol,19815,NULL,521000.0,478299, Chennai, 2018 Maruti Wagon R 1.0 VXI OPT AMT Automatic,4,521000.0
1364,""" Manual""",""" 1st Owner""", Petrol,37804,NULL,830000.0,702899, Chennai, 2017 Maruti Baleno ALPHA 1.2 K12 Manual,5,830000.0
1365,""" Manual""",""" 1st Owner""", Petrol,61023,NULL,812000.0,510999, Chennai, 2017 Hyundai Grand i10 Sportz(O) 1.2 MT Manual,5,812000.0
1366,""" Manual""",""" 1st Owner""", Petrol,14636,NULL,307000.0,325199, Chennai, 2017 Maruti Alto 800 LXI Manual,5,307000.0
1367,""" Automatic""",""" 1st Owner""", Petrol,80221,NULL,517000.0,480099, Chennai, 2018 Maruti Wagon R 1.0 VXI PLUS AMT Automatic,4,517000.0
1368,""" Manual""",""" 1st Owner""", Petrol,16645,NULL,307000.0,325199, Chennai, 2017 Maruti Alto 800 LXI Manual,5,307000.0
1369,""" Manual""",""" 1st Owner""", Petrol,60629,NULL,680000.0,529999, Chennai, 2017 Hyundai Grand i10 ASTA 1.2 VTVT Manual,5,680000.0
1370,""" Manual""",""" 1st Owner""", Petrol,70250,NULL,437000.0,443299, Chennai, 2018 Maruti Wagon R 1.0 VXI Manual,4,437000.0
1371,""" Automatic""",""" 1st Owner""", Petrol,31837,NULL,517000.0,494099, Chennai, 2018 Maruti Wagon R 1.0 VXI AMT Automatic,4,517000.0
1372,""" Manual""",""" 1st Owner""", Petrol,79333,NULL,437000.0,360799, Chennai, 2015 Maruti Wagon R 1.0 VXI Manual,7,437000.0
1373,""" Manual""",""" 1st Owner""", Petrol,16049,NULL,516000.0,498899, Chennai, 2018 Maruti IGNIS SIGMA 1.2 K12 Manual,4,516000.0
1374,""" Manual""",""" 1st Owner""", Petrol,30695,NULL,437000.0,467399, Chennai, 2017 Maruti Wagon R 1.0 VXI Manual,5,437000.0
1375,""" Manual""",""" 1st Owner""", Petrol,14064,NULL,311000.0,341699, Chennai, 2018 Maruti Alto 800 LXI Manual,4,311000.0
1376,""" Manual""",""" 1st Owner""", Petrol,39001,NULL,437000.0,482199, Chennai, 2018 Maruti Wagon R 1.0 VXI Manual,4,437000.0
1377,""" Manual""",""" 1st Owner""", Petrol,68189,NULL,355000.0,421299, Chennai, 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,5,355000.0
