,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
191,Manual,1st Owner,Petrol,10325,822499,Noida,2020 Tata ALTROZ XZ 1.2 Manual,2
192,Automatic,1st Owner,Petrol,7978,969299,Noida,2019 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT Automatic,3
193,Manual,1st Owner,Petrol,29095,519499,Noida,2017 Maruti IGNIS ZETA 1.2 K12 Manual,5
194,Manual,1st Owner,Petrol,22380,681699,Noida,2019 Maruti Baleno DELTA 1.2 K12 Manual,3
195,Manual,1st Owner,Petrol + CNG,24111,374799,Noida,2017 Maruti Eeco 5 STR CNG WITH AC PLUSHTR Manual,5
196,Manual,1st Owner,Petrol,20135,667799,Noida,2019 Maruti Baleno DELTA 1.2 K12 Manual,3
197,Manual,2nd Owner,Petrol,21902,345399,Noida,2019 Renault Kwid RXL Manual,3
198,Manual,1st Owner,Petrol,57510,493299,Noida,2015 Maruti Baleno DELTA 1.2 K12 Manual,7
199,Manual,1st Owner,Petrol,23604,1093299,Noida,2019 Maruti XL6 ALPHA SHVS  MT Manual,3
200,Manual,1st Owner,Petrol,42263,566199,Noida,2016 Maruti Baleno DELTA 1.2 K12 Manual,6
201,Manual,1st Owner,Petrol,51332,832699,Noida,2018 Ford Ecosport TITANIUM PLUS 1.5 TI VCT MT Manual,4
202,Manual,1st Owner,Diesel,63907,700699,Noida,2014 Toyota Corolla Altis D 4D J Manual,8
203,Manual,2nd Owner,Diesel,45022,907899,Noida,2017 Mahindra Scorpio S4+Intelli Hybrid 2WD Manual,5
204,Manual,2nd Owner,Petrol,31263,412499,Noida,2014 Maruti Swift VXI Manual,8
205,Automatic,2nd Owner,Diesel,90086,1577799,Noida,2015 Toyota Fortuner 3.0 AT 4X2 Automatic,7
206,Automatic,2nd Owner,Petrol,12159,374099,Noida,2017 Maruti Alto K10 VXI (O) AMT Automatic,5
207,Manual,1st Owner,Petrol,49130,447599,Noida,2017 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,5
208,Manual,1st Owner,Petrol,27418,344699,Noida,2017 Maruti Alto K10 VXI Manual,5
209,Manual,1st Owner,Petrol,98363,569299,Noida,2016 Maruti Ciaz VXI PLUS Manual,6
210,Automatic,1st Owner,Diesel,58995,1083799,Noida,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,5
