,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
572,Automatic,2nd Owner,Petrol,13825,678699,Mumbai,2018 Maruti Baleno ZETA 1.2 K12 CVT Automatic,4
573,Manual,1st Owner,Diesel,71,770799,Mumbai,2016 Ford Ecosport 1.5 TITANIUMTDCI OPT Manual,6
574,Manual,1st Owner,Diesel,96000,943699,Mumbai,2019 Hyundai VENUE SX(O) CRDi Manual,3
575,Manual,1st Owner,Petrol,37219,649399,Mumbai,2018 Maruti Baleno DELTA 1.2 K12 Manual,4
576,Manual,1st Owner,Diesel,37091,811499,Mumbai,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6
577,Manual,1st Owner,Petrol,25316,536999,Mumbai,2015 Maruti Baleno ZETA 1.2 K12 Manual,7
578,Automatic,1st Owner,Petrol,29261,1144899,Mumbai,2018 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,4
579,Manual,1st Owner,Petrol,40669,523899,Mumbai,2016 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,6
580,Manual,1st Owner,Petrol,55166,352299,Mumbai,2017 Maruti Alto K10 VXI OPT Manual,5
581,Manual,1st Owner,Petrol,9633,769399,Mumbai,2019 Maruti Baleno ALPHA 1.2 K12 Manual,3
582,Manual,1st Owner,Petrol,53889,468499,Mumbai,2014 Ford Ecosport 1.0 ECOBOOST TITANIUM Manual,8
583,Manual,1st Owner,Petrol,8375,593699,Mumbai,2019 Maruti IGNIS ZETA 1.2 K12 Manual,3
584,Manual,1st Owner,Petrol,13771,492299,Mumbai,2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5
585,Manual,1st Owner,Petrol,40618,642699,Mumbai,2017 Maruti Baleno ZETA 1.2 K12 Manual,5
586,Manual,1st Owner,Petrol,498,773699,Mumbai,2019 Maruti Baleno ZETA 1.2 K12 Manual,3
587,Manual,1st Owner,Petrol,14895,693399,Mumbai,2019 Maruti Dzire VXI Manual,3
588,Automatic,1st Owner,Petrol,54546,522999,Mumbai,2016 Hyundai Grand i10 1.2 ASTA (O) AT Automatic,6
589,Manual,1st Owner,Petrol,41470,327999,Mumbai,2018 Maruti Alto 800 VXI Manual,4
590,Manual,1st Owner,Petrol,15223,394899,Mumbai,2019 Maruti Alto K10 VXI Manual,3
591,Manual,1st Owner,Diesel,74105,904599,Mumbai,2019 Maruti Vitara Brezza ZDI Manual,3
592,Manual,1st Owner,Petrol,17655,875099,Mumbai,2019 Ford Ecosport 1.5 TITANIUM TI VCT Manual,3
593,Automatic,1st Owner,Petrol,8077,2075099,Mumbai,2021 MG HECTOR SHARP CVT Automatic,1
594,Manual,1st Owner,Diesel,50910,632499,Mumbai,2017 Maruti Baleno ALPHA DDIS 190 Manual,5
595,Automatic,1st Owner,Petrol,25453,2063299,Mumbai,2019 Jeep Compass 1.4 LIMITED PLUS AT Automatic,3
596,Manual,1st Owner,Petrol,15002,889599,Mumbai,2018 Maruti Ciaz ALPHA 1.4 VVT Manual,4
597,Manual,1st Owner,Petrol,2676,488799,Mumbai,2020 Maruti S PRESSO VXI PLUS Manual,2
598,Manual,1st Owner,Petrol,81903,589999,Mumbai,2017 Maruti Baleno ZETA 1.2 K12 Manual,5
599,Automatic,1st Owner,Petrol,36569,1639699,Mumbai,2018 Jeep Compass LIMITED 1.4 AT Automatic,4
600,Automatic,2nd Owner,Diesel,61251,1584499,Mumbai,2014 Mercedes Benz C Class EDITION C Automatic,8
601,Manual,1st Owner,Petrol,24887,688599,Mumbai,2017 Maruti Dzire ZXI Manual,5
602,Manual,1st Owner,Petrol + CNG,16517,541299,Mumbai,2020 Maruti S PRESSO VXI CNG Manual,2
603,Automatic,1st Owner,Petrol,69468,680799,Mumbai,2016 Maruti Baleno ZETA 1.2 K12 CVT Automatic,6
604,Manual,1st Owner,Diesel,75388,873399,Mumbai,2017 Maruti Vitara Brezza ZDI PLUS Manual,5
605,Automatic,1st Owner,Diesel,24068,740499,Mumbai,2018 Maruti Dzire VDI AMT Automatic,4
606,Manual,1st Owner,Petrol,17181,826899,Mumbai,2018 Ford Ecosport 1.5 TITANIUM TI VCT Manual,4
607,Manual,1st Owner,Petrol,18632,644799,Mumbai,2017 Maruti Baleno ALPHA 1.2 K12 Manual,5
608,Manual,2nd Owner,Petrol,53754,512699,Mumbai,2017 Maruti Dzire LXI Manual,5
609,Manual,1st Owner,Petrol,31471,725199,Mumbai,2019 Maruti Baleno ZETA 1.2 K12 Manual,3
610,Manual,1st Owner,Diesel,49684,683899,Mumbai,2017 Maruti Dzire VDI Manual,5
