,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
363,Manual,1st Owner,Petrol,31263,740899,Pune,2019 Hyundai Elite i20 1.2 SPORTS PLUS VTVT Manual,3
364,Manual,2nd Owner,Petrol,33538,841999,Pune,2018 Hyundai Verna 1.6 SX VTVT Manual,4
365,Manual,1st Owner,Petrol,21379,547799,Pune,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
366,Manual,1st Owner,Petrol,16051,817599,Pune,2021 Toyota Glanza G MT PETROL Manual,1
367,Manual,1st Owner,Diesel,88286,479599,Pune,2013 Maruti Swift Dzire VDI BS IV Manual,9
368,Manual,1st Owner,Petrol,39947,533199,Pune,2015 Hyundai Elite i20 ASTA 1.2 Manual,7
369,Manual,2nd Owner,Petrol,60797,643099,Pune,2017 Maruti Ciaz ALPHA 1.4 VVT Manual,5
370,Automatic,1st Owner,Petrol,14616,1192599,Pune,2018 Hyundai Creta 1.6 SX PLUS AUTO PETROL Automatic,4
371,Manual,1st Owner,Petrol,33595,521999,Pune,2017 Hyundai Elite i20 ERA 1.2 Manual,5
372,Manual,1st Owner,Petrol,15817,449199,Pune,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
373,Manual,2nd Owner,Petrol,13801,707799,Pune,2017 Hyundai Elite i20 ASTA 1.2 Manual,5
374,Manual,1st Owner,Petrol,19244,773799,Pune,2019 Toyota Glanza G MT PETROL Manual,3
375,Manual,2nd Owner,Petrol,57938,510899,Pune,2014 Hyundai Elite i20 ASTA 1.2 Manual,8
376,Manual,1st Owner,Petrol,19371,375299,Pune,2015 Maruti Alto K10 VXI Manual,7
377,Manual,1st Owner,Petrol,15574,528899,Pune,2018 Hyundai NEW SANTRO SPORTZ 1.1 Manual,4
378,Automatic,2nd Owner,Petrol,26878,1011799,Pune,2019 Hyundai VENUE 1.0 TURBO GDI SX+ AT Automatic,3
379,Automatic,1st Owner,Petrol,18376,585999,Pune,2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT Automatic,5
380,Manual,1st Owner,Petrol,15732,303999,Pune,2017 Maruti Alto 800 LXI Manual,5
381,Automatic,1st Owner,Petrol,26989,1047599,Pune,2018 Honda City V CVT Automatic,4
382,Automatic,1st Owner,Petrol,20133,1968499,Pune,2019 Jeep Compass 1.4 LIMITED PLUS AT Automatic,3
383,Automatic,1st Owner,Petrol,36968,1157299,Pune,2018 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,4
384,Manual,1st Owner,Petrol,52955,615199,Pune,2016 Maruti Baleno DELTA 1.2 K12 Manual,6
385,Manual,1st Owner,Petrol,45783,624499,Pune,2016 Maruti Baleno ALPHA 1.2 K12 Manual,6
386,Manual,1st Owner,Diesel,38553,521399,Pune,2013 Ford Ecosport 1.5 TREND TDCI Manual,9
387,Automatic,1st Owner,Diesel,69466,1211499,Pune,2017 Hyundai New Elantra 1.6 SX AT O Automatic,5
388,Automatic,1st Owner,Petrol,48998,1022599,Pune,2017 Honda City VX CVT PETROL Automatic,5
389,Automatic,1st Owner,Petrol,21306,468699,Pune,2019 Maruti Alto K10 VXI (O) AMT Automatic,3
390,Manual,1st Owner,Diesel,32522,920999,Pune,2017 Maruti Vitara Brezza ZDI PLUS Manual,5
391,Manual,2nd Owner,Diesel,70790,1401399,Pune,2017 Jeep Compass 2.0 LIMITED Manual,5
392,Automatic,2nd Owner,Diesel,35838,620099,Pune,2016 Mahindra TUV300 T8 AT Automatic,6
393,Manual,2nd Owner,Diesel,225759,468599,Pune,2010 Toyota Innova 2.5 G4 7 STR Manual,12
394,Manual,1st Owner,Petrol,13924,1113299,Pune,2019 Maruti XL6 ALPHA SHVS  MT Manual,3
395,Manual,1st Owner,Petrol,25054,609599,Pune,2016 Maruti Baleno DELTA 1.2 K12 Manual,6
396,Automatic,1st Owner,Diesel,77391,1157599,Pune,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,5
397,Automatic,1st Owner,Petrol,69862,1327299,Pune,2018 Hyundai Creta 1.6 VTVT SX AUTO Automatic,4
398,Automatic,1st Owner,Petrol,18567,1674099,Pune,2018 Jeep Compass LIMITED 1.4 AT Automatic,4
399,Manual,2nd Owner,Petrol,73428,554999,Pune,2015 Maruti Ciaz ZXI Manual,7
400,Manual,1st Owner,Petrol,41099,435099,Pune,2017 Maruti Wagon R 1.0 VXI Manual,5
401,Manual,1st Owner,Diesel,75692,570099,Pune,2014 Ford Ecosport 1.5TITANIUM TDCI Manual,8
402,Manual,1st Owner,Petrol,18043,771299,Pune,2018 Honda WR-V 1.2 i-VTEC VX MT Manual,4
403,Manual,1st Owner,Petrol,64916,625099,Pune,2016 Maruti Baleno ZETA 1.2 K12 Manual,6
404,Manual,2nd Owner,Petrol,28518,594199,Pune,2016 Maruti Baleno DELTA 1.2 K12 Manual,6
405,Manual,1st Owner,Diesel,32546,905699,Pune,2018 Maruti Vitara Brezza ZDI PLUS Manual,4
406,Automatic,3rd Owner,Petrol,15040,378599,Pune,2018 Maruti Alto K10 VXI (O) AMT Automatic,4
407,Manual,1st Owner,Diesel,24701,1132399,Pune,2018 Maruti S Cross ALPHA SHVS Manual,4
408,Manual,1st Owner,Petrol,35351,554199,Pune,2015 Hyundai i20 Active 1.2 S Manual,7
409,Manual,1st Owner,Petrol,18388,878099,Pune,2019 Ford Ecosport 1.5 TITANIUM TI VCT Manual,3
410,Automatic,1st Owner,Diesel,99149,865699,Pune,2015 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,7
411,Manual,1st Owner,Petrol,40023,598799,Pune,2016 Maruti Baleno DELTA 1.2 K12 Manual,6
412,Manual,1st Owner,Diesel,39297,740399,Pune,2017 Mahindra TUV300 T8 Manual,5
413,Manual,1st Owner,Diesel,52045,749299,Pune,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6
