,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
85,Manual,1st Owner,Petrol,42908,413799,Hyderabad,2018 Mahindra KUV 100 NXT K2 6 STR Manual,4
86,Manual,1st Owner,Petrol,25837,492399,Hyderabad,2021 Datsun Redi Go 1.0 T(O) Manual,1
87,Manual,1st Owner,Petrol,75863,482299,Hyderabad,2020 Maruti S PRESSO VXI PLUS Manual,2
88,Manual,1st Owner,Petrol,8785,953499,Hyderabad,2021 Honda Jazz 1.2 ZX MT Manual,1
89,Automatic,1st Owner,Petrol,27106,1032799,Hyderabad,2017 Honda City VX CVT PETROL Automatic,5
90,Manual,1st Owner,Petrol,86914,319399,Hyderabad,2017 Maruti Alto 800 LXI Manual,5
91,Manual,2nd Owner,Petrol,34760,393099,Hyderabad,2014 Maruti Wagon R 1.0 VXI Manual,8
92,Manual,1st Owner,Petrol,42466,538799,Hyderabad,2017 Hyundai Grand i10 SPORTZ O 1.2 Manual,5
93,Manual,1st Owner,Petrol,83306,675999,Hyderabad,2014 Ford Ecosport 1.0 ECOBOOST TITANIUM OPT Manual,8
94,Manual,2nd Owner,Petrol,89968,374899,Hyderabad,2017 Maruti Alto K10 VXI Manual,5
95,Manual,1st Owner,Petrol,27785,680799,Hyderabad,2020 Hyundai GRAND I10 NIOS SPORTZ PETROL Manual,2
96,Manual,1st Owner,Petrol,7036,448499,Hyderabad,2019 Maruti S PRESSO VXI Manual,3
97,Automatic,2nd Owner,Petrol,79223,786799,Hyderabad,2018 Maruti Ciaz ZETA 1.4 VVT AMT Automatic,4
98,Manual,1st Owner,Petrol,13707,392699,Hyderabad,2017 Maruti Alto K10 VXI Manual,5
99,Manual,1st Owner,Petrol,86781,523899,Hyderabad,2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,5
100,Manual,1st Owner,Petrol,5494,428799,Hyderabad,2019 Maruti Alto K10 VXI Manual,3
101,Manual,1st Owner,Petrol,26493,447599,Hyderabad,2019 Maruti S PRESSO VXI Manual,3
102,Manual,1st Owner,Petrol,24300,388399,Hyderabad,2017 Maruti Alto K10 VXI Manual,5
103,Manual,1st Owner,Petrol,59869,775399,Hyderabad,2019 Hyundai Elite i20 ASTA 1.2 (O) Manual,3
104,Manual,2nd Owner,Petrol,46682,675999,Hyderabad,2018 Maruti Dzire VXI Manual,4
105,Manual,2nd Owner,Petrol,18299,501599,Hyderabad,2018 Maruti Wagon R 1.0 VXI Manual,4
106,Manual,2nd Owner,Petrol,75324,706699,Hyderabad,2017 Maruti Ciaz SIGMA 1.4 VVT Manual,5
107,Automatic,2nd Owner,Petrol,45725,341499,Hyderabad,2014 Maruti Alto K10 VXI AMT Automatic,8
