,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
500,Manual,1st Owner,Petrol,15578,272299,Gurgaon,2016 Renault Kwid RXT Manual,6
501,Manual,1st Owner,Diesel,71745,1270999,Gurgaon,2018 Jeep Compass 2.0 LONGITUDE Manual,4
502,Manual,1st Owner,Petrol,12969,600999,Gurgaon,2020 Maruti Baleno SIGMA 1.2 K12 Manual,2
503,Manual,2nd Owner,Petrol,12471,555099,Gurgaon,2020 Maruti Baleno SIGMA 1.2 K12 Manual,2
504,Manual,1st Owner,Diesel,55376,1318099,Gurgaon,2018 Jeep Compass 2.0 LIMITED Manual,4
505,Automatic,1st Owner,Petrol,36806,2133299,Gurgaon,2014 Mercedes Benz C Class C 200 AVANTGARDE Automatic,8
506,Manual,1st Owner,Petrol,34566,414399,Gurgaon,2010 Honda City S MT PETROL Manual,12
507,Manual,2nd Owner,Petrol,22505,322499,Gurgaon,2018 Renault Kwid RXL Manual,4
508,Manual,2nd Owner,Petrol,22149,406499,Gurgaon,2014 Volkswagen Polo TRENDLINE 1.2L PETROL Manual,8
509,Manual,1st Owner,Petrol,80631,981699,Gurgaon,2019 Hyundai Verna 1.6 SX VTVT (O) Manual,3
510,Manual,1st Owner,Petrol,17565,572399,Gurgaon,2019 Honda Amaze 1.2 EMT I VTEC Manual,3
511,Manual,2nd Owner,Petrol,12981,1155299,Gurgaon,2020 KIA SELTOS HTK PLUS 1.5 PETROL Manual,2
512,Manual,1st Owner,Petrol,23277,221199,Gurgaon,2011 Maruti Alto K10 VXI Manual,11
513,Manual,1st Owner,Petrol,44319,204199,Gurgaon,2009 Hyundai i10 ERA 1.1 IRDE Manual,13
514,Manual,1st Owner,Petrol,35669,558599,Gurgaon,2020 Maruti Baleno SIGMA 1.2 K12 Manual,2
515,Automatic,1st Owner,Petrol,8868,1683899,Gurgaon,2020 MG HECTOR SHARP DCT PETROL Automatic,2
516,Automatic,1st Owner,Petrol,5233,534699,Gurgaon,2021 Renault Kwid 1.0 RXT Opt AT Automatic,1
517,Automatic,1st Owner,Petrol,32309,926599,Gurgaon,2018 Honda City V AT Automatic,4
518,Manual,1st Owner,Petrol + CNG,59222,359699,Gurgaon,2013 Hyundai i20 MAGNA O 1.2 Manual,9
519,Manual,3rd Owner,Petrol,27693,545699,Gurgaon,2018 Hyundai Elite i20 Magna Executive 1.2 Manual,4
520,Manual,2nd Owner,Petrol,35084,353599,Gurgaon,2019 Renault Kwid RXL Manual,3
521,Manual,1st Owner,Diesel,29974,306299,Gurgaon,2013 Hyundai i20 ERA 1.4 CRDI Manual,9
522,Manual,1st Owner,Petrol,35674,355499,Gurgaon,2020 Renault Kwid RXL Manual,2
523,Manual,1st Owner,Petrol,37580,237899,Gurgaon,2011 Maruti Alto K10 VXI Manual,11
524,Automatic,1st Owner,Petrol,14580,389999,Gurgaon,2017 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,5
525,Manual,2nd Owner,Petrol,20830,318799,Gurgaon,2018 Renault Kwid RXL Manual,4
526,Automatic,2nd Owner,Diesel,42881,1455599,Gurgaon,2013 Mercedes Benz E Class E 250 CDI AVANTGARDE Automatic,9
527,Manual,1st Owner,Diesel,2213,1213499,Gurgaon,2021 Hyundai VENUE 1.5 SX CRDI MT Manual,1
528,Manual,1st Owner,Diesel,56117,230399,Gurgaon,2013 Maruti Ritz VDI Manual,9
529,Manual,1st Owner,Petrol,2775,1819949,Gurgaon,2021 MG HECTOR PLUS SHARP HYBRID PETROL Manual,1
530,Manual,1st Owner,Petrol,12225,488499,Gurgaon,2018 Maruti Celerio VXI Manual,4
531,Manual,1st Owner,Petrol,93769,399199,Gurgaon,2015 Volkswagen Polo COMFORTLINE 1.2L PETROL Manual,7
532,Manual,1st Owner,Petrol,58630,343599,Gurgaon,2015 Maruti Wagon R 1.0 LXI Manual,7
